name,email,subject,date,year,month,day,hour,minute,domain,party,disclaimer,committee,cogito_14b,gpt-4o_november,granite31_dense,olmo2_13b,phi4_november,mistral_small,qwq_november,internlm3_8b,qwen3_14b,qwen25_november,qwen3_32b,granite3.2_november,cogito_70b,llama_4,internlm2_november,phi3_november,openthinker_32b,olmo2_7b,llama33_november,cogito_32b,granite3.3_november,gemma3_27b,deepseek_r1,gemini_25,qwen3_8b,command_a,gpt_5,gemini20_flash,claude35_haiku,mixtral_november,command_r7b,gpt_41,mistral_nemo,exaone35_32b,hermes3_70b,gemma3_12b,gptoss20b_november,claude_sonnet,exaone_deep,tulu3_8b,gemma2_november,claude35_sonnet,phi4_reasoning,gemini25_flash,qwen25_72b,phi4_mini,claude37_sonnet,o3-mini_november,gemma2_27b,claude_haiku,model_count,exact_matches
Kamala Harris,info@contact.kamalaharris.com,"Fwd: Will you make your very first $47 contribution right away? Tonight is our final end-of-month deadline, and every dollar we raise will be put straight to use turning out the voters we need to win",11/1/24 3:53,2024,11,1,3,53,contact.kamalaharris.com,D,True,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRRIS FOR PRESIDENT,,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FORPRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FORPRESIDENT,HARRIS FORPRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FORPRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,49,44
Debbie Mucarsel-Powell,info@defeatboebertpac.com,Short and to the point message,11/1/24 3:54,2024,11,1,3,54,defeatboebertpac.com,D,True,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBRT PAC,,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,VAL DEMINGS FOR SENATE,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEBBIE,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEBATE CLUB (PAC) OF FLORIDA,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,49,45
=?utf-8?b?8J+TokxPVUQgQU5EIENMRUFSIChWUFAp?=,info@e.protectvoting.org,VP Harris just SLAMMED Trump!,11/1/24 4:12,2024,11,1,4,12,e.protectvoting.org,D,True,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,VOTER PROTECTION PROJECT,49,49
Kamala Harris,info@e.nvdems.com,I just stepped off the stage in Nevada,11/1/24 4:46,2024,11,1,4,46,e.nvdems.com,D,True,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,"NEVADA STATE DEMOCRATIC PARTY, NVDEMS.COM",,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,"THE NEVADA STATE DEMOCRATIC PARTY, NVDEMS.COM, NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.",NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,"THE NEVADA STATE DEMOCRATIC PARTY, NVDEMS.COM",,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,NEVADA STATE DEMOCRATIC PARTY,47,44
Team Trump - Matching,contact@win.donaldjtrump.com,400% Trump Match for Friend,11/1/24 5:14,2024,11,1,5,14,win.donaldjtrump.com,R,True,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,"TRUMP NATIONAL COMMITTEE JFC INC., A JOINT FUNDRAISING COMMITTEE COMPOSED OF AND AUTHORIZED BY DONALD J. TRUMP FOR PRESIDENT 2024, INC. AND THE REPUBLICAN NATIONAL COMMITTEE.",TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,"TRUMP NATIONAL COMMITTEE JFC INC., A JOINT FUNDRAISING COMMITTEE COMPOSED OF AND AUTHORIZED BY DONALD J. TRUMP FOR PRESIDENT 2024, INC. AND THE REPUBLICAN NATIONAL COMMITTEE.","TRUMP NATIONAL COMMITTEE JFC INC., A JOINT FUNDRAISING COMMITTEE COMPOSED OF AND AUTHORIZED BY DONALD J. TRUMP FOR PRESIDENT 2024, INC. AND THE REPUBLICAN NATIONAL COMMITTEE",TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,48,45
NRSC Alerts,editor@republicanmajority.net,Joe Biden thinks you're GARBAGE,11/1/24 7:51,2024,11,1,7,51,republicanmajority.net,R,True,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,,NRSC,NRSC,NRSC,NRSC,NRSC,NATIONAL REPUBLICAN SENATORIAL COMMITTEE,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,THE NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,,NRSC,NRSC,THE NRSC. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. WWW.NRSC.ORG,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,THE NRSC,48,44
Major Development in Your City,editor@editor.conservativebroadcast.net,Can we count on you to complete this assessment by 11:59 PM tonight?,11/1/24 7:58,2024,11,1,7,58,editor.conservativebroadcast.net,R,True,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NATIONAL REPUBLICAN SENATORIAL COMMITTEE (NRSC),NRSC,NRSC,NATIONAL REPUBLICAN SENATORIAL COMMITTEE (NRSC),NRSC,NRSC,NRSC,NRSC,,NRSC,,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,48,46
Jim Jordan,updates@alert.restore-our-nation.com,Our final chance,11/1/24 7:58,2024,11,1,7,58,alert.restore-our-nation.com,R,True,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,,NRCC,,NRCC,NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,THE NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,THE NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NRCC,NRCC,NRCC,NRCC,48,43
The UPRIGHT PAC,editor@alerts.therepublicanteam.com,I'm supporting a President who's the most pro-life President.,11/1/24 8:49,2024,11,1,8,49,alerts.therepublicanteam.com,R,True,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,48,48
The UPRIGHT PAC,editor@alert.restore-our-nation.com,“I’m supporting a President who’s the most pro-life President.”,11/1/24 8:54,2024,11,1,8,54,alert.restore-our-nation.com,R,True,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,48,48
Major Development in Your City,news@iesp.defend-the-constitution.org,Our internal polling claims that your area is the PATH to victory,11/1/24 9:00,2024,11,1,9,0,iesp.defend-the-constitution.org,R,True,NRSC,NRSC,NRSC,NATIONAL REPUBLICAN SENATORIAL COMMITTEE (NRSC),NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,THE NRSC,THE NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,THE NRSC,50,46
Navy SEAL Ryan Zinke,info@reclamingamericanfreedom.com,maybe I bit off more than I could chew,11/1/24 9:00,2024,11,1,9,0,reclamingamericanfreedom.com,R,True,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,"TEAM SCALI SE, A JOINT FUNDRAISING COMMITTEE AUTHORIZED BY AND TO BENEFIT SCALI SE FOR CONGRESS AND EYE OF THE TIGER PAC",,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,"TEAM SCALISE, A JOINT FUNDRAISING COMMITTEE AUTHORIZED BY AND TO BENEFIT SCALISE FOR CONGRESS AND EYE OF THE TIGER PAC",TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,"TEAM SCALISE, A JOINT FUNDRAISING COMMITTEE AUTHORIZED BY AND TO BENEFIT SCALISE FOR CONGRESS AND EYE OF THE TIGER PAC",TEAM SCALISE,SCALISE FOR CONGRESS,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,TEAM SCALISE,"TEAM SCALISE, A JOINT FUNDRAISING COMMITTEE AUTHORIZED BY AND TO BENEFIT SCALISE FOR CONGRESS AND EYE OF THE TIGER PAC",49,44
The UPRIGHT PAC,news@iesp.conservativelibertywire.com,“I’m supporting a President who’s the most pro-life President.”,11/1/24 9:01,2024,11,1,9,1,iesp.conservativelibertywire.com,R,True,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,,UPRIGHT PAC,UPRIGHT PAC,"UPRIGHT PAC 138 CONANT ST, STE. 401 BEVERLY, MA 01915",UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,UPRIGHT PAC,48,47
KamalaHarris.com,info@contact.kamalaharris.com,Harris-Walz Campaign Donor: Not yet!,11/1/24 9:01,2024,11,1,9,1,contact.kamalaharris.com,D,True,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,,HARRIS FOR PRESIDENT,,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FORPRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,HARRIS FOR PRESIDENT,47,46
Major Development in Your City,patriot@e.youramerica.news,We are contacting patriots in your neighborhood to get a lay of the land,11/1/24 9:03,2024,11,1,9,3,e.youramerica.news,R,True,NRSC,NRSC,NRSC,NATIONAL REPUBLICAN SENATORIAL COMMITTEE (NRSC),NRSC,NRSC,NRSC,NRSC,NRSC,,NRSC,NRSC,NRSC,NRSC,NRSC,NATIONAL REPUBLICAN SENATORIAL COMMITTEE (NRSC),NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,THE NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,NRSC,49,46
Chairman Richard Hudson,news@e.1600daily.com,Taking a break to say THANK YOU,11/1/24 9:07,2024,11,1,9,7,e.1600daily.com,R,True,NRCC,NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NRCC,NRCC,NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NRCC,NRCC,NRCC,THE NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NRCC,49,26
Debbie [key race alert],info@e.debbieforflorida.com,this poll shows that this race is FAR from over >>>,11/1/24 9:08,2024,11,1,9,8,e.debbieforflorida.com,D,True,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,DEBBIE FOR FLORIDA,49,49
